token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3181731945d495f4ed41c423945650ee21d5d68e,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3285f150e7e1a176752959f2e830a31c078c038e,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x33993ca87f307c47f7e8121d71a78d7fb2d4f9fd,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x33bff8d4f1d0bda54771a45a35659c4d44dc1cc6,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x349fa05334c0a0edc9d34acf088f8b85c87ed9b7,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x35ffc49e7fefc188dff81db3c717db098294bc23,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x375f95fb45811ace248adc5baee5228d91ffca50,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x383b6ba7342567102ba2bc95d9bda13286a3cb26,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x393eaa4cfccea60866dec70445187086913b1d0b,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3bdb6119802ef01eab4e2a74bedb5e0227bed49a,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3c7108fad72aba31e2fa59dfbc458b54f58d9966,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3e7dd7df9c1ffd12b8ecd94a27472bdc4d87ab7e,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3ead00d7e1b95c5e99f287f04c72f62f2cb67c80,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3ee8b7ddcc2d20f99a4bf04efc2cbcc66424e961,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x40581470c9b8724af5ed35b72201f5a434f82340,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x41de0ff7e391b304ed0033819e91046853e14656,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x44fbef86239debd8e68a22a9ba58cd7ab6be6947,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4523b791292da89a9194b61ba4cd9d98f2af68e0,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x45b14b5d5c536c3faba451a1ba53387dcddfcf2f,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x45d09a3fc6103d8f08f208247333c31bf8ebcbea,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x465b357bbac5f6f3bc78669db6980f9eaa21d0c2,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x47fea52a4b79954fede50ee07b3f5d22696c8586,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x48563b586c509faea52e17cc42f83f14b1d3759b,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4967056eb4d9ddbf4404f110a3164b265e4fe4ab,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4a7dc0a1f68ecffd1588df798d95c95c8aa7efd9,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4a7fd8f063a6eba78f731f562a5a1e9fbb3313bb,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4abf60f682174edf170f60070e44e84342a150c8,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4c37700d949db46aa11a9f1627070f9af31f8011,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4c46f9a3da4f7f2911e29dae334ebcf09101a669,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4cccf16faf12590dc9a93255224e699fa2197bca,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x51ab3dbf9a5089a85e6e3e8252df7c911078dd84,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x52cba35123edeb68cf549ef0efb4cfc5854c0df4,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x53d8edf6a54239eb785ec72213919fb6b6b73598,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5443ab072067e1ad408d7027a236b184472f4122,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x55836e71979b41a28ff1e85b9b2e6f7907569c9c,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5595f9e14a9a3b957d08e904939aa351e265c157,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x564b31fe75510a1adb311aece4faa63346ed142c,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x592677809f71980a25836b326686e55b013108a1,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x596a7f60a430d3ea672ebd0268cd414a6607b463,5
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5974ab4cadc4f429c1a477b0b52a2209afa0179e,5
