token_address,receiver,amount
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc313b6b8fb7ed5e092c44375f928c40439278fef,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x564b31fe75510a1adb311aece4faa63346ed142c,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x5e190617c7cfb30c3c87dd55920e117280d3f8e6,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x602ac7626a8599161a9d532ed7555e02e40e8bef,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4a7dc0a1f68ecffd1588df798d95c95c8aa7efd9,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xddf4433f004acce1edeab1e01fec8f21c8513e68,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3c7108fad72aba31e2fa59dfbc458b54f58d9966,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc7c10871096b36b036e41d45d15b32b0cc74b806,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x4c37700d949db46aa11a9f1627070f9af31f8011,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xfb43a5d6be49413d4368be0b3560abf675764afd,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x9fecf056375a973308bb3d6fb6b1c230cfd21456,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x0ce638e196f5141b9aa2fedc07ea158d94b458f9,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xc02bfc8c96477d82ae78d3212b802c4bfc820f90,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x1928c92c7b9d9a9699776f9fb57ad6c84b44be33,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x65f570384d6cc157a15eac9bfd9da88364d59b7f,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x73b04f837595ee4915f6966b667935b1032bcdb3,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x53d8edf6a54239eb785ec72213919fb6b6b73598,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xe6d1eb4dd6df9f4b7e7670bfc7f685faae35a31d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x9322c6ccbce9fcc9bdc45fe2830704907330454d,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x881da56b26e9c826c0c2ffbe06c5be7eb21d017a,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xb4ec60de5ee53988e98f596655ef0b7110bb8d95,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xbb2281ca5b4d07263112604d1f182ad0ab26a252,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xeafcc7bad1afede83f065146b14066a5d04ac3d2,10
0x3472A5A71965499acd81997a54BBA8D852C6E53d,0xd48f1a44e56526e96a983ff750559aa365810d5a,10
